state,month,death,positive,recovered
Oklahoma,September,918.97,72592.97,60890.53
Oklahoma,October,1162.58,105297.32,89933.97
Oklahoma,November,1456.11,140403.06,117584.33
Oregon,March,8.57,160.86,0
Oregon,April,60.23,1677.47,0
Oregon,May,134.23,3496.94,1394.97
Oregon,June,180.17,6127.63,2433.57
Oregon,July,253.55,13553.48,3214.74
Oregon,August,389.68,23009.68,4395.9
Oregon,September,512.97,29988.63,5345.63
Oregon,October,619.19,38962.23,5852.45
Oregon,November,735.39,51935.06,5870
Pennsylvania,March,18.07,901.27,0
Pennsylvania,April,879.13,26720.33,0
Pennsylvania,May,4206.16,60754.68,43024.9
Pennsylvania,June,6222.9,79575.97,58848.07
Pennsylvania,July,6954.94,98899.19,75362.71
Pennsylvania,August,7451.61,123823.23,97530.9
Pennsylvania,September,7912.17,146654.23,119871.23
Pennsylvania,October,8464.03,180578.42,143520.19
Pennsylvania,November,9096.44,240526.72,171816.06
Rhode Island,March,5,104.84,35
Rhode Island,April,118.83,4360.53,197.53
Rhode Island,May,499.06,12583.26,921.48
Rhode Island,June,849.47,16142.87,1465.67
Rhode Island,July,985.03,17761.26,1719.23
Rhode Island,August,1025.39,20528.74,1971.32
Rhode Island,September,1081.73,23355.73,2226.27
Rhode Island,October,1154.23,28247.29,2528.48
Rhode Island,November,1240.17,39120.22,2999.56
South Carolina,March,7.06,212.25,0
South Carolina,April,106.47,3724.63,3060
South Carolina,May,376,8662.23,5099.94
South Carolina,June,614.13,21215.8,9796.5
South Carolina,July,1132.52,63813.87,23702.32
South Carolina,August,2260.84,105760.19,42641.32
South Carolina,September,3096.03,133906.73,56937.9
South Carolina,October,3644.19,162176.23,81242.42
South Carolina,November,4052.78,187883.5,97516.94
South Dakota,March,1,28.08,28.33
South Dakota,April,7.03,1207.63,573.27
South Dakota,May,41.26,3838.45,2712
South Dakota,June,76.07,5932,4960.57
South Dakota,July,111.97,7745,6769.87
South Dakota,August,151.84,10548.16,9018.52
South Dakota,September,191.53,17637.03,14493.77
South Dakota,October,315.06,32505.71,24465.55
South Dakota,November,546.56,57453.83,40554.22
Tennessee,March,7.22,475.11,121
Tennessee,April,122.4,6378.57,2499.8
Tennessee,May,287.58,17387.48,10016.45
Tennessee,June,487.07,32010.2,21017.6
Tennessee,July,810.32,72815.35,43013.52
Tennessee,August,1398.77,132423.16,93267.45
Tennessee,September,2114.07,176362.2,157817.67
Tennessee,October,2891.97,226603.94,203294.74
Tennessee,November,3684.33,289783.94,255480.83
Texas,March,15.13,608.11,38
Texas,April,381.27,15842.4,4622.9
Texas,May,1261.9,46150.42,26836.52
Texas,June,2040.23,99949.57,61314.53
Texas,July,3892.1,294238.68,163589
Texas,August,9838.65,530342.35,397604.42
Texas,September,14375.83,678226.47,590106.27
Texas,October,16873.71,819218.58,722385.55
Texas,November,18914.61,972984.44,830694.72
Utah,March,1.18,220.36,0
Utah,April,24.07,2739.27,981.94
Utah,May,79.65,7138.1,3935.84
Utah,June,143.13,15373.37,8778.27
Utah,July,234.13,31771.26,19607.26
Utah,August,363.42,46532.87,37082.58
Utah,September,434.93,60974.5,49675.1
Utah,October,534.61,92603.74,68348.06
Utah,November,671.83,137367.61,96098.83
Virginia,March,9,252.44,0
