state,month,death,positive,recovered
NJ,6,14334.933333333332,167006.16666666666,28715.833333333332
NJ,7,15412.677419354839,176396.70967741936,31406.032258064515
NJ,8,15847.290322580646,187169.03225806452,33283.58064516129
NJ,9,16038.966666666667,198052.2,34449.066666666666
NJ,10,16217.032258064517,219349.4193548387,35816.51612903226
NJ,11,16472.833333333332,261167.5,38473.5
NM,3,2.125,76.22222222222223,20.0
NM,4,49.13333333333333,1650.7,375.53333333333336
NM,5,249.6451612903226,5741.129032258064,1763.3225806451612
NM,6,438.46666666666664,9943.766666666666,4173.333333333333
NM,7,564.9354838709677,16262.41935483871,6647.5161290322585
NM,8,713.8709677419355,23285.774193548386,10533.612903225807
NM,9,832.6333333333333,27189.266666666666,14807.333333333334
NM,10,934.1612903225806,36501.8064516129,19399.548387096773
NM,11,1143.1666666666667,57409.5,23751.944444444445
NV,3,8.037037037037036,224.37037037037038,
NV,4,154.16666666666666,3240.6,
NV,5,365.83870967741933,6803.096774193548,
NV,6,480.7,12195.9,
NV,7,639.1612903225806,32637.548387096773,
NV,8,1076.0,60488.87096774193,
NV,9,1478.9,74484.86666666667,
NV,10,1695.1612903225807,89415.16129032258,
NV,11,1863.4444444444443,112256.33333333333,
NY,3,365.1764705882353,16351.42857142857,3504.4
NY,4,11011.766666666666,207614.76666666666,30298.333333333332
NY,5,22025.322580645163,344950.67741935485,60801.32258064516
NY,6,24525.566666666666,383783.06666666665,68649.8
NY,7,25013.8064516129,404663.0,71867.87096774194
NY,8,25245.935483870966,425254.06451612903,74134.67741935483
NY,9,25403.333333333332,446471.9,75918.1
NY,10,25636.387096774193,481957.9032258064,78165.7741935484
NY,11,26000.38888888889,537532.7777777778,80891.38888888889
OH,3,17.75,447.14814814814815,
OH,4,417.23333333333335,9571.866666666667,
OH,5,1603.516129032258,27337.548387096773,
OH,6,2570.633333333333,42666.433333333334,
OH,7,3133.1612903225805,71100.51612903226,49885.63333333333
OH,8,3829.2258064516127,107855.70967741935,86302.74193548386
OH,9,4497.133333333333,139679.93333333332,118150.56666666667
OH,10,5074.741935483871,180360.32258064515,149306.2258064516
OH,11,5569.5,263020.55555555556,189422.77777777778
OK,3,7.769230769230769,122.72,
OK,4,123.13333333333334,2262.9666666666667,1400.3461538461538
OK,5,286.35483870967744,5177.451612903225,3900.2258064516127
OK,6,361.53333333333336,9250.6,7098.6
OK,7,447.4516129032258,23818.90322580645,18520.41935483871
OK,8,669.8709677419355,48151.709677419356,40176.77419354839
OK,9,918.9666666666667,72592.96666666666,60890.53333333333
OK,10,1162.5806451612902,105297.32258064517,89933.96774193548
OK,11,1456.111111111111,140403.05555555556,117584.33333333333
OR,3,8.571428571428571,160.85714285714286,
OR,4,60.233333333333334,1677.4666666666667,
OR,5,134.2258064516129,3496.935483870968,1394.9655172413793
OR,6,180.16666666666666,6127.633333333333,2433.5666666666666
OR,7,253.5483870967742,13553.483870967742,3214.7419354838707
OR,8,389.6774193548387,23009.677419354837,4395.903225806452
OR,9,512.9666666666667,29988.633333333335,5345.633333333333
OR,10,619.1935483870968,38962.22580645161,5852.451612903225
OR,11,735.3888888888889,51935.055555555555,5870.0
PA,3,18.071428571428573,901.2692307692307,
PA,4,879.1333333333333,26720.333333333332,
PA,5,4206.1612903225805,60754.67741935484,43024.9
PA,6,6222.9,79575.96666666666,58848.066666666666
PA,7,6954.935483870968,98899.19354838709,75362.70967741935
PA,8,7451.612903225807,123823.2258064516,97530.90322580645
PA,9,7912.166666666667,146654.23333333334,119871.23333333334
PA,10,8464.032258064517,180578.4193548387,143520.1935483871
PA,11,9096.444444444445,240526.72222222222,171816.05555555556
PR,3,3.4,61.375,
PR,4,51.13333333333333,820.6666666666666,
PR,5,117.12903225806451,1152.0967741935483,
PR,6,146.0,1470.7666666666667,
PR,7,176.93548387096774,3490.451612903226,
PR,8,331.03225806451616,11202.451612903225,
PR,9,556.7666666666667,18956.633333333335,
PR,10,751.5483870967741,28588.41935483871,25919.0
PR,11,890.5,39059.166666666664,33220.77777777778
RI,3,5.0,104.83870967741936,35.0
RI,4,118.83333333333333,4360.533333333334,197.53333333333333
RI,5,499.06451612903226,12583.258064516129,921.483870967742
RI,6,849.4666666666667,16142.866666666667,1465.6666666666667
RI,7,985.0322580645161,17761.25806451613,1719.225806451613
RI,8,1025.3870967741937,20528.74193548387,1971.3225806451612
RI,9,1081.7333333333333,23355.733333333334,2226.266666666667
RI,10,1154.225806451613,28247.290322580644,2528.483870967742
RI,11,1240.1666666666667,39120.22222222222,2999.5555555555557
SC,3,7.0625,212.25,
SC,4,106.46666666666667,3724.633333333333,3060.0
SC,5,376.0,8662.225806451614,5099.935483870968
SC,6,614.1333333333333,21215.8,9796.5
SC,7,1132.516129032258,63813.87096774193,23702.322580645163
SC,8,2260.8387096774195,105760.19354838709,42641.32258064516
SC,9,3096.0333333333333,133906.73333333334,56937.9
SC,10,3644.1935483870966,162176.2258064516,81242.41935483871
SC,11,4052.777777777778,187883.5,97516.94444444444
SD,3,1.0,28.08,28.333333333333332
SD,4,7.033333333333333,1207.6333333333334,573.2666666666667
SD,5,41.25806451612903,3838.451612903226,2712.0
SD,6,76.06666666666666,5932.0,4960.566666666667
SD,7,111.96774193548387,7745.0,6769.870967741936
SD,8,151.83870967741936,10548.161290322581,9018.516129032258
SD,9,191.53333333333333,17637.033333333333,14493.766666666666
SD,10,315.06451612903226,32505.709677419356,24465.548387096773
SD,11,546.5555555555555,57453.833333333336,40554.22222222222
TN,3,7.222222222222222,475.1111111111111,121.0
TN,4,122.4,6378.566666666667,2499.8
TN,5,287.5806451612903,17387.483870967742,10016.451612903225
TN,6,487.06666666666666,32010.2,21017.6
TN,7,810.3225806451613,72815.35483870968,43013.51612903226
TN,8,1398.774193548387,132423.16129032258,93267.45161290323
TN,9,2114.0666666666666,176362.2,157817.66666666666
TN,10,2891.967741935484,226603.93548387097,203294.74193548388
TN,11,3684.3333333333335,289783.94444444444,255480.83333333334
TX,3,15.133333333333333,608.1071428571429,38.0
TX,4,381.26666666666665,15842.4,4622.9
TX,5,1261.9032258064517,46150.41935483871,26836.516129032258
TX,6,2040.2333333333333,99949.56666666667,61314.53333333333
TX,7,3892.0967741935483,294238.67741935485,163589.0
TX,8,9838.645161290322,530342.3548387097,397604.4193548387
TX,9,14375.833333333334,678226.4666666667,590106.2666666667
